event stream queue is empty now!
eventCn 1878433
#full Match 272343
#high latecny (> 150)3957
#NumPartialMatch 4946601
21 ---- 2008,259,2008,259,2008,259,
35 ---- 2008,259,2008,259,2008,3002,
200 ---- 2008,3002,2008,259,2008,259,
150 ---- 2008,3002,2008,259,2008,3002,
75 ---- 2008,3002,2008,3002,2008,259,
21 ---- 2008,3002,2008,3002,2008,3002,
15 ---- 2008,3002,327,3002,327,3002,
30 ---- 2008,304,2008,304,315,351,
16 ---- 2008,304,315,351,315,351,
12 ---- 2008,304,315,351,316,340,
12 ---- 2008,363,2008,304,315,351,
30 ---- 2008,534,2008,259,2008,276,
30 ---- 2008,534,2008,534,2008,259,
15 ---- 2008,534,2008,534,2008,276,
35 ---- 212,3256,328,3256,328,3256,
20 ---- 212,3256,328,3256,328,3664,
15 ---- 212,3256,377,3256,328,3256,
21 ---- 217,407,217,407,217,407,
20 ---- 229,293,445,445,445,445,
21 ---- 259,2008,259,2008,259,2008,
20 ---- 259,2008,259,2008,3002,146,
12 ---- 264,426,363,2008,304,2008,
22 ---- 266,445,266,445,266,445,
15 ---- 276,3256,347,3256,347,3256,
15 ---- 293,445,445,445,445,445,
175 ---- 3002,2008,259,2008,259,2008,
75 ---- 3002,2008,259,2008,3002,146,
300 ---- 3002,2008,3002,2008,259,2008,
35 ---- 3002,2008,3002,2008,3002,146,
21 ---- 3002,2008,3002,2008,3002,2008,
15 ---- 3002,327,3002,327,3002,2008,
18 ---- 301,302,445,266,445,339,
12 ---- 301,302,445,266,445,411,
12 ---- 302,445,266,445,339,445,
18 ---- 304,2008,304,315,351,315,
18 ---- 304,2008,304,315,351,316,
15 ---- 309,459,462,459,462,459,
16 ---- 315,264,426,363,2008,304,
20 ---- 3163,3165,3163,3165,3158,3159,
12 ---- 3163,495,3258,3259,3258,3259,
12 ---- 3165,3163,3165,3158,3159,3163,
120 ---- 3170,3283,3170,3283,281,3164,
462 ---- 3170,3283,3170,3283,3170,3283,
35 ---- 3223,445,266,445,266,445,
233 ---- 3239,3239,3239,3239,3239,3239,
21 ---- 3255,3259,3255,3259,3255,3259,
35 ---- 3255,3259,3255,3259,3255,504,
21 ---- 3256,328,3256,328,3256,328,
15 ---- 3256,347,3256,347,3256,276,
20 ---- 3256,377,3256,328,3256,328,
12 ---- 3258,3259,3258,3259,494,450,
21 ---- 3259,3255,3259,3255,3259,3255,
21 ---- 328,3256,328,3256,328,3256,
15 ---- 328,3256,328,3256,328,3664,
45 ---- 3283,3170,3283,281,3164,3158,
330 ---- 3283,3170,3283,3170,3283,281,
462 ---- 3283,3170,3283,3170,3283,3170,
45 ---- 3295,3314,3283,3170,3283,281,
120 ---- 3295,3314,3283,3170,3283,3170,
45 ---- 3314,3283,3170,3283,281,3164,
330 ---- 3314,3283,3170,3283,3170,3283,
20 ---- 3348,406,217,407,217,407,
21 ---- 3472,458,525,458,459,276,
70 ---- 3472,458,525,458,525,458,
220 ---- 3472,462,525,448,525,448,
66 ---- 3472,462,525,448,525,462,
20 ---- 363,2008,304,2008,304,315,
24 ---- 363,2008,304,315,351,315,
24 ---- 363,2008,304,315,351,316,
66 ---- 3686,3472,462,525,448,525,
35 ---- 377,3256,328,3256,328,3256,
20 ---- 377,3256,328,3256,328,3664,
15 ---- 388,494,509,3255,3259,3255,
12 ---- 393,301,302,445,266,445,
12 ---- 393,445,266,445,339,445,
20 ---- 406,217,407,217,407,216,
15 ---- 406,217,407,217,407,217,
15 ---- 407,217,407,217,407,216,
20 ---- 426,363,2008,304,2008,304,
24 ---- 426,363,2008,304,315,351,
12 ---- 438,445,266,445,339,445,
12 ---- 438,445,393,445,266,445,
57 ---- 445,266,445,266,445,266,
12 ---- 445,266,445,339,445,411,
12 ---- 445,393,301,302,445,266,
18 ---- 445,393,445,266,445,339,
12 ---- 445,393,445,266,445,411,
20 ---- 445,445,445,445,445,3435,
18 ---- 445,445,445,445,445,445,
1287 ---- 448,525,448,525,448,525,
220 ---- 448,525,448,525,462,459,
11 ---- 448,525,462,459,3658,3686,
15 ---- 450,545,487,2003,545,487,
15 ---- 458,525,458,459,276,2010,
70 ---- 458,525,458,525,458,459,
56 ---- 458,525,458,525,458,525,
15 ---- 459,462,459,462,459,494,
715 ---- 462,525,448,525,448,525,
66 ---- 462,525,448,525,462,459,
11 ---- 482,3686,3472,462,525,448,
20 ---- 494,509,3255,3259,3255,3259,
15 ---- 494,509,3255,3259,3255,504,
12 ---- 495,3258,3259,3258,3259,494,
35 ---- 509,3255,3259,3255,3259,3255,
20 ---- 518,518,518,518,167,167,
1287 ---- 525,448,525,448,525,448,
715 ---- 525,448,525,448,525,462,
66 ---- 525,448,525,462,459,3658,
35 ---- 525,458,525,458,459,276,
56 ---- 525,458,525,458,525,458,
21 ---- 533,3472,458,525,458,459,
35 ---- 533,3472,458,525,458,525,
15 ---- 534,2008,259,2008,276,316,
60 ---- 534,2008,534,2008,259,2008,
20 ---- 534,2008,534,2008,276,316,
21 ---- 534,2008,534,2008,534,2008,
21 ---- 545,487,2003,545,487,2003,
